half_yearly,keyword,count,type
2010-2,삼성,9,company
2010-2,LG,9,company
2010-2,신한은행,6,company
2010-2,두산,4,company
2010-2,효성,3,company
2010-2,대한항공,3,company
2010-2,산업은행,3,company
2011-1,삼성,56,company
2011-1,LG,23,company
2011-1,현대,11,company
2011-1,SK,11,company
2011-1,신한은행,4,company
2011-1,GS,4,company
2011-1,포스코,3,company
2011-1,우리은행,3,company
2011-1,금호,6,company
2011-2,삼성,57,company
2011-2,현대,34,company
2011-2,두산,28,company
2011-2,LG,22,company
2011-2,포스코,16,company
2011-2,신한은행,14,company
2011-2,하나은행,14,company
2011-2,KT,22,company
2011-2,대우,11,company
2011-2,하이닉스,10,company
2011-2,코오롱,10,company
2011-2,STX,14,company
2011-2,대림산업,9,company
2011-2,GS,9,company
2011-2,효성,8,company
2011-2,국민은행,7,company
2011-2,SK,11,company
2011-2,CJ,11,company
2011-2,한화,6,company
2011-2,일진전자,6,company
2011-2,신한,5,company
2011-2,IBK,5,company
2011-2,만도,5,company
2011-2,산업은행,5,company
2011-2,극동건설,4,company
2011-2,기아,4,company
2011-2,LIG,4,company
2011-2,한솔,4,company
2011-2,팬택,4,company
2011-2,LG,4,company
2011-2,세아,3,company
2011-2,우리은행,3,company
2011-2,안철수,3,company
2011-2,신용보증기금,3,company
2011-2,농협,3,company
2012-1,삼성,166,company
2012-1,LG,40,company
2012-1,현대,28,company
2012-1,두산,24,company
2012-1,포스코,21,company
2012-1,신한은행,17,company
2012-1,GS,15,company
2012-1,SK,15,company
2012-1,롯데,11,company
2012-1,STX,10,company
2012-1,코어,9,company
2012-1,한전,8,company
2012-1,IBK,8,company
2012-1,교보생명,7,company
2012-1,금호,7,company
2012-1,동양,7,company
2012-1,기아,6,company
2012-1,웅진,6,company
2012-1,이랜드,6,company
2012-1,하나은행,6,company
2012-1,신세계,5,company
2012-1,외환은행,5,company
2012-1,우리은행,5,company
2012-1,오픈타이드,5,company
2012-1,대우,4,company
2012-1,매경,4,company
2012-1,수협,4,company
2012-1,쌍용,4,company
2012-1,경남은행,3,company
2012-1,마을금고,3,company
2012-1,삼전,3,company
2012-1,일진전자,3,company
2012-1,한화,3,company
2012-1,CJ,3,company
2012-1,KBS,3,company
2012-2,삼성,181,company
2012-2,현대,132,company
2012-2,LG,80,company
2012-2,신한은행,35,company
2012-2,우리은행,35,company
2012-2,기아,32,company
2012-2,대한항공,29,company
2012-2,SK,27,company
2012-2,GS,24,company
2012-2,동양,22,company
2012-2,농협,21,company
2012-2,두산,21,company
2012-2,유니클로,19,company
2012-2,롯데,18,company
2012-2,포스코,18,company
2012-2,한화,17,company
2012-2,CJ,17,company
2012-2,국민은행,16,company
2012-2,산업은행,16,company
2012-2,코오롱,16,company
2012-2,동원,13,company
2012-2,만도,12,company
2012-2,KT,12,company
2012-2,하이닉스,11,company
2012-2,마이다스아이티,10,company
2012-2,하나은행,10,company
2012-2,농어촌공사,9,company
2012-2,대우,9,company
2012-2,한전,9,company
2012-2,동서,8,company
2012-2,매직,8,company
2012-2,비씨카드,8,company
2012-2,이마트,8,company
2012-2,매경,7,company
2012-2,외환은행,7,company
2012-2,IBM,7,company
2012-2,넥센타이어,6,company
2012-2,한진,6,company
2012-2,효성,6,company
2012-2,LS,6,company
2012-2,서울보증보험,5,company
2012-2,BC,5,company
2012-2,NHN,5,company
2012-2,OCI,5,company
2012-2,강동,4,company
2012-2,교원,4,company
2012-2,금감원,4,company
2012-2,넥슨,4,company
2012-2,대림산업,4,company
2012-2,대연,4,company
2012-2,락스타,4,company
2012-2,범한판토스,4,company
2012-2,부산은행,4,company
2012-2,신용보증기금,4,company
2012-2,에이블,4,company
2012-2,오라클,4,company
2012-2,일진전자,4,company
2012-2,한국은행,4,company
2012-2,홈플러스,4,company
2012-2,LIG,4,company
2012-2,거래소,3,company
2012-2,교원그룹,3,company
2012-2,노틸러스,3,company
2012-2,대웅,3,company
2012-2,도레이,3,company
2012-2,마을금고,3,company
2012-2,세아,3,company
2012-2,한국감정원,3,company
2012-2,한솔,3,company
2012-2,항공대,3,company
2012-2,KGC,3,company
2013-1,삼성,356,company
2013-1,현대,151,company
2013-1,LG,142,company
2013-1,CJ,76,company
2013-1,SK,53,company
2013-1,롯데,52,company
2013-1,신한은행,32,company
2013-1,KT,28,company
2013-1,GS,25,company
2013-1,기아,23,company
2013-1,하나은행,23,company
2013-1,대우,21,company
2013-1,아주,18,company
2013-1,농협,16,company
2013-1,한전,16,company
2013-1,두산,14,company
2013-1,이랜드,14,company
2013-1,동원,13,company
2013-1,IBK,13,company
2013-1,외환은행,12,company
2013-1,관광공사,11,company
2013-1,한샘,11,company
2013-1,디원,10,company
2013-1,유니클로,10,company
2013-1,한화,10,company
2013-1,포스코,9,company
2013-1,신한,8,company
2013-1,이마트,8,company
2013-1,국민은행,7,company
2013-1,데상트,7,company
2013-1,아모레,7,company
2013-1,코웨이,7,company
2013-1,KDB,7,company
2013-1,강동,6,company
2013-1,풍산,6,company
2013-1,한국전력,6,company
2013-1,LIG,6,company
2013-1,금호,5,company
2013-1,라이나,5,company
2013-1,에뛰드,5,company
2013-1,한국전력공사,5,company
2013-1,대림산업,4,company
2013-1,대원,4,company
2013-1,마을금고,4,company
2013-1,세이브존,4,company
2013-1,오픈타이드,4,company
2013-1,한국가스공사,4,company
2013-1,LS,4,company
2013-1,광물공사,3,company
2013-1,국민은행,3,company
2013-1,농심,3,company
2013-1,대웅,3,company
2013-1,삼양,3,company
2013-1,아시아나항공,3,company
2013-1,에이블,3,company
2013-1,우리은행,3,company
2013-1,우리은행,3,company
2013-1,원자력,3,company
2013-1,일동,3,company
2013-1,주택,3,company
2013-1,하이닉스,3,company
2013-1,한국자산관리공사,3,company
2013-1,한국전력기술,3,company
2013-1,한솔교육,3,company
2013-1,AIM,3,company
2013-1,OCI,3,company
2013-2,삼성,197,company
2013-2,현대,164,company
2013-2,대한항공,68,company
2013-2,CJ,68,company
2013-2,LG,64,company
2013-2,한전,60,company
2013-2,SK,55,company
2013-2,롯데,44,company
2013-2,GS,38,company
2013-2,한화,35,company
2013-2,기아,27,company
2013-2,한샘,26,company
2013-2,포스코,24,company
2013-2,NC,24,company
2013-2,IBK,22,company
2013-2,농협,19,company
2013-2,효성,19,company
2013-2,하나은행,18,company
2013-2,동원,17,company
2013-2,NHN,16,company
2013-2,국민은행,15,company
2013-2,KT,15,company
2013-2,이랜드,14,company
2013-2,두산,13,company
2013-2,만도,13,company
2013-2,안동,13,company
2013-2,이수,13,company
2013-2,코오롱,13,company
2013-2,하이닉스,12,company
2013-2,한진,11,company
2013-2,LIG,11,company
2013-2,항공우주산업,10,company
2013-2,다음,9,company
2013-2,유니클로,9,company
2013-2,KCC,9,company
2013-2,동서,8,company
2013-2,동우,8,company
2013-2,마이다스아이티,8,company
2013-2,아주,8,company
2013-2,이마트,8,company
2013-2,종근당,8,company
2013-2,고려,7,company
2013-2,디원,7,company
2013-2,신한은행,7,company
2013-2,우리은행,7,company
2013-2,한솔,7,company
2013-2,LS,7,company
2013-2,넥슨,6,company
2013-2,대보,6,company
2013-2,쌍용,6,company
2013-2,이스트소프트,6,company
2013-2,MBC,6,company
2013-2,농심,5,company
2013-2,대림산업,5,company
2013-2,도레이,5,company
2013-2,캐논,5,company
2013-2,한국남부발전,5,company
2013-2,한국은행,5,company
2013-2,강동,4,company
2013-2,경동,4,company
2013-2,경산,4,company
2013-2,금호,4,company
2013-2,매경,4,company
2013-2,보증,4,company
2013-2,이노션,4,company
2013-2,캐피탈,4,company
2013-2,티브로드,4,company
2013-2,SBS,4,company
2013-2,넥센타이어,3,company
2013-2,노틸러스,3,company
2013-2,대연,3,company
2013-2,대우건설,3,company
2013-2,마을금고,3,company
2013-2,보령,3,company
2013-2,산전,3,company
2013-2,시티,3,company
2013-2,신도리코,3,company
2013-2,신세계,3,company
2013-2,아모레,3,company
2013-2,엔시스,3,company
2013-2,여천,3,company
2013-2,워커힐,3,company
2013-2,코웨이,3,company
2013-2,호텔신라,3,company
2013-2,황현,3,company
2014-1,삼성,139,company
2014-1,현대,84,company
2014-1,SK,47,company
2014-1,롯데,31,company
2014-1,한전,30,company
2014-1,CJ,23,company
2014-1,LG,18,company
2014-1,BGF,16,company
2014-1,한샘,16,company
2014-1,디원,16,company
2014-1,한진,14,company
2014-1,두산,12,company
2014-1,세아,11,company
2014-1,농협,11,company
2014-1,GS,10,company
2014-1,대우,10,company
2014-1,동원,9,company
2014-1,LS,5,company
2014-1,IBK,5,company
2014-1,하얏트,5,company
2014-1,아주,5,company
2014-1,동아,5,company
2014-1,계양,5,company
2014-1,OCI,4,company
2014-1,ISC,4,company
2014-1,하이닉스,4,company
2014-1,포스코,4,company
2014-1,세방,4,company
2014-1,산전,4,company
2014-1,동성,4,company
2014-1,다음,4,company
2014-1,교보생명,4,company
2014-1,SPC,3,company
2014-1,호텔신라,3,company
2014-1,한화,3,company
2014-1,하이로,3,company
2014-1,하나은행,3,company
2014-1,탈레스,3,company
2014-1,쿠팡,3,company
2014-1,캐논,3,company
2014-1,진에어,3,company
2014-1,안국,3,company
2014-1,아워홈,3,company
2014-1,신한은행,3,company
2014-1,빙그레,3,company
2014-1,데상트,3,company
2014-1,대교,3,company
2014-1,농심,3,company
2014-1,국민카드,3,company
2014-1,고려,3,company
2014-2,현대,135,company
2014-2,삼성,94,company
2014-2,한전,60,company
2014-2,LG,57,company
2014-2,GS,49,company
2014-2,SK,41,company
2014-2,CJ,33,company
2014-2,대한항공,32,company
2014-2,하나은행,24,company
