half_yearly,keyword,category,type,level
2010-2,열심히,14,passion,1
2010-2,열정,6,passion,2
2010-2,목숨걸다,3,passion,3
2011-1,열심히,46,passion,1
2011-1,성실,13,passion,1
2011-1,열정,10,passion,2
2011-1,각오,10,passion,2
2011-1,꿈,5,passion,3
2011-1,뽀개다,5,passion,2
2011-1,의지,4,passion,1
2011-1,목숨,4,passion,3
2011-1,성실히,3,passion,1
2011-2,열심히,97,passion,1
2011-2,열정,31,passion,2
2011-2,성실,27,passion,1
2011-2,각오,14,passion,2
2011-2,성실히,9,passion,1
2011-2,뽀개다,7,passion,2
2011-2,빡세다,7,passion,3
2011-2,의지,7,passion,1
2011-2,간절히,3,passion,3
2011-2,절실하다,3,passion,3
2012-1,열심히,160,passion,1
2012-1,열정,46,passion,2
2012-1,뽀개다,45,passion,2
2012-1,각오,44,passion,2
2012-1,성실,39,passion,1
2012-1,의지,23,passion,1
2012-1,절실하다,14,passion,3
2012-1,성실히,13,passion,1
2012-1,간절하다,11,passion,3
2012-1,빡세다,10,passion,3
2012-1,열의,6,passion,2
2012-1,인재,4,passion,1
2012-1,취뽀,4,passion,2
2012-1,빡시다,4,passion,3
2012-1,목숨걸다,3,passion,3
2012-1,목숨,3,passion,3
2012-2,열심히,217,passion,1
2012-2,성실,90,passion,1
2012-2,열정,88,passion,2
2012-2,각오,62,passion,2
2012-2,성실히,39,passion,1
2012-2,의지,37,passion,1
2012-2,뽀개다,22,passion,2
2012-2,절실하다,20,passion,3
2012-2,빡세다,11,passion,3
2012-2,빡시다,9,passion,3
2012-2,간절하다,9,passion,3
2012-2,목숨,4,passion,3
2012-2,인재,4,passion,1
2012-2,열의,4,passion,2
2013-1,열심히,548,passion,1
2013-1,각오,192,passion,2
2013-1,성실,186,passion,1
2013-1,열정,153,passion,2
2013-1,뽀개다,137,passion,2
2013-1,성실히,61,passion,1
2013-1,의지,55,passion,1
2013-1,절실하다,37,passion,3
2013-1,간절하다,32,passion,3
2013-1,빡세다,31,passion,3
2013-1,빡시다,8,passion,3
2013-1,열의,8,passion,2
2013-1,인재,6,passion,1
2013-1,간절히,4,passion,3
2013-1,절실히,3,passion,3
2013-2,열심히,551,passion,1
2013-2,각오,204,passion,2
2013-2,열정,161,passion,2
2013-2,성실,153,passion,1
2013-2,성실히,75,passion,1
2013-2,뽀개다,72,passion,2
2013-2,의지,58,passion,1
2013-2,간절하다,40,passion,3
2013-2,절실하다,37,passion,3
2013-2,빡세다,36,passion,3
2013-2,간절히,11,passion,3
2013-2,빡시다,9,passion,3
2013-2,취뽀,8,passion,2
2013-2,꿈,5,passion,3
2013-2,인재,5,passion,1
2013-2,목숨걸다,4,passion,3
2014-1,열심히,448,passion,1
2014-1,성실,214,passion,1
2014-1,각오,193,passion,2
2014-1,열정,148,passion,2
2014-1,뽀개다,79,passion,2
2014-1,의지,65,passion,1
2014-1,성실히,64,passion,1
2014-1,간절하다,53,passion,3
2014-1,절실하다,50,passion,3
2014-1,빡세다,38,passion,3
2014-1,열의,12,passion,2
2014-1,간절히,9,passion,3
2014-1,빡시다,6,passion,3
2014-1,꿈,5,passion,3
2014-1,뽀개다,5,passion,2
2014-1,인재,3,passion,1
2014-2,열심히,500,passion,1
2014-2,성실,144,passion,1
2014-2,각오,129,passion,2
2014-2,열정,118,passion,2
2014-2,뽀개다,81,passion,2
2014-2,기적,69,passion,3
2014-2,절실하다,42,passion,3
2014-2,의지,39,passion,1
2014-2,성실히,36,passion,1
2014-2,빡세다,21,passion,3
2014-2,간절하다,20,passion,3
2014-2,빡시다,10,passion,3
2014-2,인재,8,passion,1
2014-2,열의,5,passion,2
2014-2,간절히,4,passion,3
2014-2,꿈,3,passion,3
